Question;Réponse correcte;Fausse réponse 1;Fausse réponse 2;Fausse réponse 3;Explication
À quelle condition une matrice \(A\) est-elle orthogonale ?;\(A^T A = I_n \Leftrightarrow A^T = A^{-1}\);\(A^T = A\);\(A^T A = 0\);\(\det(A) = 0\);Une matrice A est orthogonale si sa transposée est égale à son inverse : \(A^T A = A A^T = I_n\), soit \(A^T = A^{-1}\).
Comment savoir si une base est directe ou indirecte avec la matrice de passage \(B\) ?;Base directe si \(\det(B) = 1\), base indirecte si \(\det(B) = -1\);Base directe si \(\det(B) = 0\), base indirecte si \(\det(B) > 0\);Base directe si \(\det(B) = -1\), base indirecte si \(\det(B) = 1\);Base directe si \(B^T = B\), base indirecte si \(B^T = -B\);L'orientation d'une base dépend du signe du déterminant de la matrice de passage depuis la base canonique : directe si +1, indirecte si -1.
Que stipule le théorème spectral pour une matrice symétrique \(A\) ?;Il existe \(D\) diagonale et \(P\) orthogonale telles que \(D = P^{-1} A P = P^T A P\);Il existe \(D\) diagonale telle que \(A = D^T D\);Toute matrice symétrique est inversible et de déterminant nul;Il n'existe aucune base dans laquelle \(A\) est diagonalisable;Le théorème spectral affirme que toute matrice réelle symétrique est diagonalisable dans une base orthonormée de vecteurs propres, donc avec une matrice de passage orthogonale P.
Quelle est la matrice d'une rotation en dimension 2 (groupe \(O(2)\) avec \(\det=1\)) ?;\(\begin{pmatrix} \cos \theta & -\sin \theta \\ \sin \theta & \cos \theta \end{pmatrix}\);\(\begin{pmatrix} \cos \theta & \sin \theta \\ \sin \theta & -\cos \theta \end{pmatrix}\);\(\begin{pmatrix} \sin \theta & \cos \theta \\ -\cos \theta & \sin \theta \end{pmatrix}\);\(\begin{pmatrix} 1 & 0 \\ 0 & -1 \end{pmatrix}\);Une rotation plane d'angle \(\theta\) a pour matrice dans une base orthonormée directe \(\begin{pmatrix} \cos \theta & -\sin \theta \\ \sin \theta & \cos \theta \end{pmatrix}\) avec déterminant égal à +1.
Quelle est la matrice d'une symétrie vectorielle en dimension 2 (groupe \(O(2)\) avec \(\det=-1\)) ?;\(\begin{pmatrix} \cos \theta & \sin \theta \\ \sin \theta & -\cos \theta \end{pmatrix}\);\(\begin{pmatrix} \cos \theta & -\sin \theta \\ \sin \theta & \cos \theta \end{pmatrix}\);\(\begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}\);\(\begin{pmatrix} \sin \theta & -\sin \theta \\ \cos \theta & \cos \theta \end{pmatrix}\);Une réflexion (symétrie orthogonale par rapport à une droite) en dimension 2 a un déterminant de -1 et s'écrit \(\begin{pmatrix} \cos \theta & \sin \theta \\ \sin \theta & -\cos \theta \end{pmatrix}\).
À quelle matrice est diagonalisable une symétrie vectorielle plane ?;\(\begin{pmatrix} 1 & 0 \\ 0 & -1 \end{pmatrix}\);\(\begin{pmatrix} 1 & 0 \\ 0 & 1 \end{pmatrix}\);\(\begin{pmatrix} 0 & 1 \\ -1 & 0 \end{pmatrix}\);\(\begin{pmatrix} -1 & 0 \\ 0 & -1 \end{pmatrix}\);Une symétrie orthogonale plane possède deux valeurs propres +1 (sur l'axe de réflexion) et -1 (sur la droite orthogonale), elle est donc semblable à \(\begin{pmatrix} 1 & 0 \\ 0 & -1 \end{pmatrix}\).
Quelle est la composée de deux rotations d'angles \(\theta\) et \(\theta'\) ?;Une rotation d'angle \(\theta + \theta'\);Une rotation d'angle \(\theta \cdot \theta'\);Une symétrie d'angle \(\theta - \theta'\);La matrice identité quelle que soit la valeur des angles;La composition de deux rotations planes d'angles \(\theta\) et \(\theta'\) correspond au produit de leurs matrices, ce qui donne une rotation d'angle \(\theta + \theta'\).
Quelle est la composée de deux symétries vectorielles de paramètres \(\theta\) et \(\theta'\) ?;Une rotation d'angle \(\theta - \theta'\);Une symétrie vectorielle de paramètre \(\theta + \theta'\);La matrice nulle;Une rotation d'angle \(\theta \cdot \theta'\);La composée de deux réflexions (déterminants -1) est une rotation (déterminant (-1) x (-1) = 1) d'angle égal à la différence de leurs angles caractéristiques.
En dimension 3, que représente une isométrie si \(\dim(\ker(Id_3 - f)) = 3\) ?;L'application identité, \(A = I_3\);Une réflexion par rapport à un plan;Une rotation d'angle \(\pi\);La symétrie centrale \(A = -I_3\);Si \(\dim(\ker(Id_3 - f)) = 3\), alors tous les vecteurs de \(\mathbb{R}^3\) sont invariants par f, donc \(f = Id_3\).
En dimension 3, que représente une isométrie si \(\dim(\ker(Id_3 - f)) = 2\) ?;Une symétrie vectorielle semblable à \(\begin{pmatrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & -1 \end{pmatrix}\);Une rotation autour d'un axe;L'identité \(I_3\);Une roto-réflexion d'angle \(\pi/3\);L'espace des invariants est de dimension 2 (le plan de réflexion), et l'espace orthogonal est de dimension 1 associé à la valeur propre -1. C'est une réflexion.
En dimension 3, quelle est l'isométrie si \(\dim(\ker(Id_3 - f)) = 1\) ?;Une rotation d'angle \(\theta = \arccos(\frac{Tr(A)-1}{2})\);Une symétrie par rapport à un plan;L'identité;Une homothétie de rapport 2;Si \(\dim(\ker(Id_3 - f)) = 1\), l'axe de rotation est l'espace des invariants (dimension 1). L'angle \(\theta\) vérifie \(Tr(A) = 1 + 2\cos\theta\), soit \(\cos\theta = \frac{Tr(A)-1}{2}\).
En dimension 3, quelle est la matrice semblable si \(\dim(\ker(Id_3 - f)) = 0\) ?;\(\begin{pmatrix} -1 & 0 & 0 \\ 0 & \cos \theta & -\sin \theta \\ 0 & \sin \theta & \cos \theta \end{pmatrix}\) avec \(\theta = \arccos(\frac{Tr(A)+1}{2})\);\(\begin{pmatrix} 1 & 0 & 0 \\ 0 & \cos \theta & -\sin \theta \\ 0 & \sin \theta & \cos \theta \end{pmatrix}\);\(\begin{pmatrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & -1 \end{pmatrix}\);\(\begin{pmatrix} 0 & 0 & 0 \\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{pmatrix}\);Si \(\dim(\ker(Id_3 - f)) = 0\), 1 n'est pas valeur propre. -1 est valeur propre, et f est la composée d'une rotation d'axe D et d'une réflexion par rapport au plan \(D^\perp\). Trace : \(Tr(A) = -1 + 2\cos\theta \implies \cos\theta = \frac{Tr(A)+1}{2}\).
