Quelle est la définition/notation de l'intégrale de \(f\) sur \([a, b]\) ?;\(\int_{a}^{b}f(x)dx\);\(\int_{a}^{b}f'(x)dx\);\(\sum_{a}^{b}f(x)\);\([f(b) - f(a)]dx\);L'intégrale d'une fonction continue \(f\) sur \([a, b]\) est notée \(\int_{a}^{b}f(x)dx\).
Quelle est la formule d'intégration par parties ?;\(\int_{a}^{b}u'(x)v(x)dx = [u(x)v(x)]_{a}^{b} - \int_{a}^{b}u(x)v'(x)dx\);\(\int_{a}^{b}u'(x)v(x)dx = [u(x)v(x)]_{a}^{b} + \int_{a}^{b}u(x)v'(x)dx\);\(\int_{a}^{b}u'(x)v(x)dx = u(b)v(b) - \int_{a}^{b}u(x)v(x)dx\);\(\int_{a}^{b}u'(x)v(x)dx = [u'(x)v'(x)]_{a}^{b} - \int_{a}^{b}u(x)v(x)dx\);L'intégration par parties provient de la dérivée d'un produit : \(\int u'v = [uv] - \int uv'\).
À quelle condition l'intégrale de Riemann \(\int_{1}^{+\infty}\frac{dx}{x^{\alpha}}\) converge-t-elle ?;\(\int_{1}^{+\infty}\frac{dx}{x^{\alpha}}\) converge si \(\alpha > 1\);Elle converge si \(\alpha < 1\);Elle converge si \(\alpha \ge 1\);Elle converge pour tout \(\alpha \in \mathbb{R}^*\);En \(+\infty\), l'intégrale de Riemann \(\int_{1}^{+\infty}\frac{dx}{x^{\alpha}}\) converge si et seulement si \(\alpha > 1\).
À quelle condition l'intégrale de Riemann \(\int_{0}^{1}\frac{dx}{x^{\alpha}}\) converge-t-elle ?;\(\int_{0}^{1}\frac{dx}{x^{\alpha}}\) converge si \(\alpha < 1\);Elle converge si \(\alpha > 1\);Elle converge si \(\alpha \le 1\);Elle converge pour tout \(\alpha > 0\);En 0, l'intégrale de Riemann \(\int_{0}^{1}\frac{dx}{x^{\alpha}}\) converge si et seulement si \(\alpha < 1\).
Quelle est la formule du changement de variable dans une intégrale ?;\(\int_{a}^{b}f(\varphi(x))\varphi'(x)dx = \int_{\varphi(a)}^{\varphi(b)}f(t)dt\);\(\int_{a}^{b}f(\varphi(x))\varphi'(x)dx = \int_{a}^{b}f(t)dt\);\(\int_{a}^{b}f(\varphi(x))dx = \int_{\varphi(a)}^{\varphi(b)}f(t)\varphi'(t)dt\);\(\int_{a}^{b}f(\varphi(x))\varphi'(x)dx = \int_{\varphi(b)}^{\varphi(a)}f(t)dt\);En posant \(t = \varphi(x)\), on a \(dt = \varphi'(x)dx\) et les bornes deviennent \(\varphi(a)\) et \(\varphi(b)\).
Quelles sont les étapes du changement de variable ?;1. Poser \(t=\varphi(x)\) 2. Calculer \(dt=\varphi'(x)dx\) 3. Changer les bornes;1. Dériver \(f\) 2. Poser \(t=x^2\) 3. Intégrer par parties;1. Calculer les primitives 2. Inverser les bornes 3. Poser \(x=dt\);1. Poser \(t=f(x)\) 2. Développer l'expression 3. Garder les mêmes bornes;Pour réussir un changement de variable, il faut exprimer la nouvelle variable, son élément différentiel \(dt\), et modifier les bornes d'intégration.
Quand dit-on qu'une intégrale généralisée \(\int_{a}^{b}f(x)dx\) converge ?;\(\lim_{\beta\rightarrow b}\int_{a}^{\beta}f(x)dx\) existe et est finie;Lorsque \(\lim_{\beta\rightarrow b}f(\beta) = 0\);Lorsque \(\int_{a}^{b}f(x)dx = 0\);Lorsque \(f\) est bornée sur \([a, b[\);Une intégrale impropre en \(b\) converge si la limite de l'intégrale partielle quand \(\beta \to b\) existe et est finie.
Que dit le théorème de comparaison (équivalence) pour des fonctions positives ?;Si \(f \sim g\) (positifs), alors les intégrales sont de même nature;Si \(f \sim g\), alors \(\int f = \int g\);Si \(f \sim g\), alors \(\int f\) converge nécessairement;Si \(f \sim g\), alors leurs primitives sont égales;Si deux fonctions positives sont équivalentes au voisinage de la borne problème, leurs intégrales sont de même nature.
Que dit le théorème de comparaison (convergence) pour les intégrales ?;Si \(0 \le f \le g\) et \(\int g\) converge \(\Rightarrow \int f\) converge;Si \(0 \le f \le g\) et \(\int f\) converge \(\Rightarrow \int g\) converge;Si \(0 \le f \le g\) et \(\int g\) diverge \(\Rightarrow \int f\) converge;Si \(0 \le f \le g\), alors \(\int f\) et \(\int g\) ont la même valeur;Si une fonction positive est majorée par une fonction dont l'intégrale converge, alors son intégrale converge.
Que dit le théorème de comparaison (divergence) pour les intégrales ?;Si \(0 \le f \le g\) et \(\int f\) diverge \(\Rightarrow \int g\) diverge;Si \(0 \le f \le g\) et \(\int g\) diverge \(\Rightarrow \int f\) diverge;Si \(0 \le f \le g\) et \(\int f\) converge \(\Rightarrow \int g\) diverge;Si \(0 \le f \le g\) et \(\int f\) diverge \(\Rightarrow \int g\) converge;Si une fonction positive est minorée par une fonction dont l'intégrale diverge, alors son intégrale diverge.
Quand dit-on qu'une intégrale est absolument convergente ?;\(\int f\) est absolument convergente si \(\int |f|\) converge;Lorsque l'intégrale \(\int f\) converge et \(\int f > 0\);Lorsque \(f\) est strictement positive sur tout le domaine;Lorsque \(\lim_{x \to \infty} |f(x)| = 0\);L'absolue convergence d'une intégrale \(\int f\) correspond à la convergence de l'intégrale de sa valeur absolue \(\int |f|\).
Quel est le lien entre absolue convergence et convergence ?;Si \(\int |f|\) converge, alors \(\int f\) converge;Si \(\int f\) converge, alors \(\int |f|\) converge toujours;L'absolue convergence est équivalente à la convergence;Si \(\int |f|\) converge, alors \(\int f\) peut diverger;L'absolue convergence implique la convergence simple : toute intégrale absolument convergente est convergente.
À quelle condition l'intégrale \(\int_{1}^{+\infty}e^{qx}dx\) diverge-t-elle ?;\(\int_{1}^{+\infty}e^{qx}dx\) diverge si \(q > 0\);Si \(q < 0\);Pour tout \(q \in \mathbb{R}\);Si et seulement si \(q < -1\);Pour \(q > 0\), \(e^{qx} \to +\infty\) en \(+\infty\), donc l'intégrale diverge.
