Quelle est la définition de la dérivée de \(f\) en \(x_0\) ?;\(f'(x_0) = \lim_{h \to 0} \frac{f(x_0+h) - f(x_0)}{h}\);\(f'(x_0) = \lim_{h \to 0} \frac{f(x_0+h) + f(x_0)}{h}\);\(f'(x_0) = \lim_{x \to 0} \frac{f(x) - f(x_0)}{x - x_0}\);\(f'(x_0) = \frac{f(x_0+h) - f(x_0)}{h}\);La dérivée en \(x_0\) est la limite du taux d'accroissement lorsque \(h \to 0\).
Quels sont les énoncés et la conclusion du théorème de Rolle ?;Si \(f\) continue sur \([a,b]\), dérivable sur \(]a,b[\) et \(f(a)=f(b)\), alors \(\exists c \in ]a,b[, f'(c)=0\);Si \(f\) continue sur \([a,b]\), alors \(\exists c \in ]a,b[, f'(c)=0\);Si \(f\) dérivable sur \([a,b]\) et \(f(a)=f(b)\), alors \(f'(x)=0\) pour tout \(x \in ]a,b[\);Si \(f\) continue sur \([a,b]\), dérivable sur \(]a,b[\), alors \(\exists c \in ]a,b[, f(c)=0\);Le théorème de Rolle garantit l'existence d'au moins un point annulant la dérivée si la fonction a les mêmes valeurs aux bornes.
Quelle est l'égalité du théorème des accroissements finis (TAF) pour \(f\) continue sur \([a,b]\) et dérivable sur \(]a,b[\) ?;\(\exists c \in ]a,b[, f(b)-f(a) = f'(c)(b-a)\);\(\exists c \in ]a,b[, f(b)+f(a) = f'(c)(b-a)\);\(\exists c \in ]a,b[, f(b)-f(a) = f(c)(b-a)\);\(\forall c \in ]a,b[, f(b)-f(a) = f'(c)(b-a)\);Le TAF affirme l'existence de \(c \in ]a,b[\) tel que le taux d'accroissement global s'égale à la dérivée en \(c\).
Quelle est l'inégalité des accroissements finis si \(|f'(x)| \le M\) sur \(]a,b[\) ?;Si \(|f'(x)| \le M\) sur \(]a,b[\), alors \(|f(x)-f(y)| \le M|x-y|\) sur \([a,b]\);Si \(|f'(x)| \le M\) sur \(]a,b[\), alors \(|f(x)-f(y)| \le M\) sur \([a,b]\);Si \(|f'(x)| \le M\) sur \(]a,b[\), alors \(|f(x)-f(y)| \ge M|x-y|\) sur \([a,b]\);Si \(|f'(x)| \le M\) sur \(]a,b[\), alors \(|f(x)| \le M|x|\) sur \([a,b]\);L'inégalité des accroissements finis permet de contrôler la variation de \(f\) par la borne supérieure de sa dérivée.
Quelle est la formule de Leibniz pour la dérivée \(n\)-ième d'un produit de deux fonctions \((fg)^{(n)}\) ?;\((fg)^{(n)} = \sum_{k=0}^{n} \binom{n}{k} f^{(k)} g^{(n-k)}\);\((fg)^{(n)} = f^{(n)} g^{(n)}\);\((fg)^{(n)} = \sum_{k=0}^{n} f^{(k)} g^{(n-k)}\);\((fg)^{(n)} = \sum_{k=0}^{n} \binom{n}{k} f^{(n)} g^{(k)}\);La formule de Leibniz généralise la formule du binôme de Newton pour les dérivées successives d'un produit.
Quelle est la formule de Taylor-Young en \(x_0\) à l'ordre \(n\) pour une fonction de classe \(C^n\) ?;\(f(x) = \sum_{k=0}^{n} \frac{f^{(k)}(x_0)}{k!}(x-x_0)^k + o((x-x_0)^n)\);\(f(x) = \sum_{k=0}^{n} f^{(k)}(x_0)(x-x_0)^k + o((x-x_0)^n)\);\(f(x) = \sum_{k=0}^{n} \frac{f^{(k)}(x_0)}{k}(x-x_0)^k + o((x-x_0)^n)\);\(f(x) = \sum_{k=1}^{n} \frac{f^{(k)}(x_0)}{k!}(x-x_0)^k + o((x-x_0)^n)\);La formule de Taylor-Young exprime le DL d'une fonction \(C^n\) à l'aide des coefficients \(\frac{f^{(k)}(x_0)}{k!}\).
Quel est le développement limité usuel de \(e^x\) en 0 à l'ordre \(n\) ?;\(e^x = \sum_{k=0}^{n} \frac{x^k}{k!} + o(x^n)\);\(e^x = \sum_{k=1}^{n} \frac{x^k}{k!} + o(x^n)\);\(e^x = \sum_{k=0}^{n} \frac{x^k}{k} + o(x^n)\);\(e^x = \sum_{k=0}^{n} x^k + o(x^n)\);Le DL de l'exponentielle s'écrit \(1 + x + \frac{x^2}{2!} + \dots + \frac{x^n}{n!} + o(x^n)\).
Quel est le développement limité usuel de \(\frac{1}{1-x}\) en 0 à l'ordre \(n\) ?;\(\frac{1}{1-x} = \sum_{k=0}^{n} x^k + o(x^n)\);\(\frac{1}{1-x} = \sum_{k=0}^{n} \frac{x^k}{k!} + o(x^n)\);\(\frac{1}{1-x} = \sum_{k=0}^{n} (-1)^k x^k + o(x^n)\);\(\frac{1}{1-x} = \sum_{k=1}^{n} x^k + o(x^n)\);Il s'agit de la somme de la série géométrique tronquée: \(1 + x + x^2 + \dots + x^n + o(x^n)\).
Quel est le développement limité usuel de \(\sin(x)\) en 0 à l'ordre \(2n+1\) ?;\(\sin(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k+1}}{(2k+1)!} + o(x^{2n+1})\);\(\sin(x) = \sum_{k=0}^{n} \frac{x^{2k+1}}{(2k+1)!} + o(x^{2n+1})\);\(\sin(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k}}{(2k)!} + o(x^{2n})\);\(\sin(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k+1}}{2k+1} + o(x^{2n+1})\);\(\sin(x)\) est une fonction impaire, son DL ne comporte que des puissances impaires avec des signes alternés.
Quel est le développement limité usuel de \(\cos(x)\) en 0 à l'ordre \(2n\) ?;\(\cos(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k}}{(2k)!} + o(x^{2n})\);\(\cos(x) = \sum_{k=0}^{n} \frac{x^{2k}}{(2k)!} + o(x^{2n})\);\(\cos(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k+1}}{(2k+1)!} + o(x^{2n+1})\);\(\cos(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k}}{2k!} + o(x^{2n})\);\(\cos(x)\) est une fonction paire, son DL contient uniquement des puissances paires avec des signes alternés.
Quel est le développement limité usuel de \(\sinh(x)\) en 0 à l'ordre \(2n+1\) ?;\(\sinh(x) = \sum_{k=0}^{n} \frac{x^{2k+1}}{(2k+1)!} + o(x^{2n+1})\);\(\sinh(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k+1}}{(2k+1)!} + o(x^{2n+1})\);\(\sinh(x) = \sum_{k=0}^{n} \frac{x^{2k}}{(2k)!} + o(x^{2n})\);\(\sinh(x) = \sum_{k=0}^{n} \frac{x^k}{k!} + o(x^n)\);Le sinus hyperbolique est impair et tous ses termes dans le DL ont un signe positif.
Quel est le développement limité usuel de \(\cosh(x)\) en 0 à l'ordre \(2n\) ?;\(\cosh(x) = \sum_{k=0}^{n} \frac{x^{2k}}{(2k)!} + o(x^{2n})\);\(\cosh(x) = \sum_{k=0}^{n} (-1)^k \frac{x^{2k}}{(2k)!} + o(x^{2n})\);\(\cosh(x) = \sum_{k=0}^{n} \frac{x^{2k+1}}{(2k+1)!} + o(x^{2n+1})\);\(\cosh(x) = \sum_{k=0}^{n} \frac{x^{2k}}{2k} + o(x^{2n})\);Le cosinus hyperbolique est pair et tous ses termes dans le DL ont un signe positif.
Quel est le développement limité usuel de \(\ln(1+x)\) en 0 à l'ordre \(n\) ?;\(\ln(1+x) = \sum_{k=1}^{n} (-1)^{k+1} \frac{x^k}{k} + o(x^n)\);\(\ln(1+x) = \sum_{k=1}^{n} (-1)^k \frac{x^k}{k} + o(x^n)\);\(\ln(1+x) = \sum_{k=1}^{n} \frac{x^k}{k!} + o(x^n)\);\(\ln(1+x) = \sum_{k=0}^{n} (-1)^{k+1} \frac{x^k}{k} + o(x^n)\);On intègre le DL de \(\frac{1}{1+x}\); le premier terme est \(x\) (donc positif), et les dénominateurs sont \(k\) sans factorielle.
Quel est le développement limité usuel de \((1+x)^\alpha\) en 0 à l'ordre \(n\) ?;\((1+x)^\alpha = \sum_{k=0}^{n} \binom{\alpha}{k} x^k + o(x^n)\);\((1+x)^\alpha = \sum_{k=0}^{n} \alpha^k x^k + o(x^n)\);\((1+x)^\alpha = \sum_{k=0}^{n} \binom{n}{k} x^k + o(x^n)\);\((1+x)^\alpha = \sum_{k=1}^{n} \binom{\alpha}{k} x^k + o(x^n)\);Les coefficients sont les coefficients binomiaux généralisés \(\binom{\alpha}{k} = \frac{\alpha(\alpha-1)\dots(\alpha-k+1)}{k!}\).
Comment s'effectue l'intégration d'un développement limité d'une fonction continuement dérivable ?;Si \(f\) a un \(DL_n\), sa primitive a un \(DL_{n+1}\) obtenu en intégrant la partie polynomiale.;Si \(f\) a un \(DL_n\), sa primitive a un \(DL_n\) obtenu sans changer l'ordre.;On ne peut jamais intégrer terme à terme la partie polynomiale d'un DL.;L'intégration d'un \(DL_n\) donne un \(DL_{n-1}\) par perte d'un degré.;L'intégration terme à terme de la partie polynomiale d'un \(DL_n\) fournit la partie polynomiale du \(DL_{n+1}\) de la primitive.
