Question;Correct;Fausse 1;Fausse 2;Fausse 3;Explication
Formule de la dérivée de la fonction réciproque;\((f^{-1})'(f(x_0)) = \frac{1}{f'(x_0)}\) si \(f'(x_0) \neq 0\);\((f^{-1})'(x_0) = -f'(x_0)\);\((f^{-1})'(f(x_0)) = f'(x_0)\);\((f^{-1})'(x_0) = \frac{1}{f(x_0)}\);En dérivant l'identité f^-1(f(x)) = x, on obtient (f^-1)'(f(x0)) = 1 / f'(x0).
Définition de la partie entière de \(x\) (encadrement);\(\text{L'entier } p \text{ tel que } p \le x < p+1\);\(\text{L'entier } p \text{ tel que } p < x \le p+1\);\(\text{L'entier } p \text{ tel que } p-1 \le x < p\);\(\text{L'entier } p \text{ tel que } |x-p| < 0.5\);La partie entière de x est le plus grand entier relatif inférieur ou égal à x, soit l'unique entier p tel que p <= x < p+1.
Propriétés algébriques du logarithme népérien (produit et quotient);\(\ln(ab) = \ln(a) + \ln(b)\) et \(\ln(\frac{a}{b}) = \ln(a) - \ln(b)\);\(\ln(ab) = \ln(a) \times \ln(b)\) et \(\ln(\frac{a}{b}) = \frac{\ln(a)}{\ln(b)}\);\(\ln(a+b) = \ln(a) + \ln(b)\) et \(\ln(a-b) = \ln(a) - \ln(b)\);\(\ln(ab) = \ln(a) - \ln(b)\) et \(\ln(\frac{a}{b}) = \ln(a) + \ln(b)\);Le logarithme transforme les produits en sommes et les quotients en différences.
Propriété du logarithme d'une puissance;\(\ln(a^q) = q\ln(a)\);\(\ln(a^q) = (\ln(a))^q\);\(\ln(a^q) = e^{q\ln(a)}\);\(\ln(a^q) = \frac{\ln(a)}{q}\);Pour tout a > 0 et q réel, ln(a^q) = q * ln(a).
Propriétés algébriques de l'exponentielle (somme et différence);\(e^{a+b} = e^a e^b\) et \(e^{a-b} = \frac{e^a}{e^b}\);\(e^{a+b} = e^a + e^b\) et \(e^{a-b} = e^a - e^b\);\(e^{a+b} = (e^a)^b\) et \(e^{a-b} = \frac{e^a}{b}\);\(e^{a+b} = e^{ab}\) et \(e^{a-b} = e^{a/b}\);L'exponentielle transforme les sommes en produits (e^(a+b) = e^a * e^b) et les différences en quotients (e^(a-b) = e^a / e^b).
Définition de la puissance réelle \(x^a\);\(x^a = e^{a \ln(x)}\);\(x^a = \ln(a e^x)\);\(x^a = a^{x \ln(e)}\);\(x^a = e^{x \ln(a)}\);Pour x > 0 et a réel, la puissance réelle est définie par x^a = e^(a ln(x)).
Dérivée de la fonction arcsin;\(\arcsin'(x) = \frac{1}{\sqrt{1-x^2}}\);\(\arcsin'(x) = -\frac{1}{\sqrt{1-x^2}}\);\(\arcsin'(x) = \frac{1}{1+x^2}\);\(\arcsin'(x) = \frac{1}{\sqrt{x^2-1}}\);La dérivée de arcsin(x) sur ]-1, 1[ est 1 / sqrt(1-x^2).
Dérivée de la fonction arccos;\(\arccos'(x) = -\frac{1}{\sqrt{1-x^2}}\);\(\arccos'(x) = \frac{1}{\sqrt{1-x^2}}\);\(\arccos'(x) = -\frac{1}{1+x^2}\);\(\arccos'(x) = -\frac{1}{\sqrt{x^2-1}}\);La dérivée de arccos(x) sur ]-1, 1[ est -1 / sqrt(1-x^2).
Relation entre arccos et arcsin;\(\arccos(x) + \arcsin(x) = \frac{\pi}{2}\);\(\arccos(x) + \arcsin(x) = \pi\);\(\arccos(x) - \arcsin(x) = \frac{\pi}{2}\);\(\arccos(x) \cdot \arcsin(x) = 1\);Pour tout x dans [-1, 1], la somme arccos(x) + arcsin(x) vaut pi/2.
Propriétés de la fonction tangente;Périodique de période \(\pi\) et impaire;Périodique de période \(2\pi\) et paire;Périodique de période \(\pi\) et paire;Non périodique et impaire;La fonction tangente est pi-périodique et impaire.
Propriétés de la fonction arctan;Impaire et strictement croissante;Paire et strictement croissante;Impaire et décroissante;Périodique et strictement croissante;La fonction arctangente est impaire et strictement croissante sur R.
Dérivée de la fonction arctan;\(\arctan'(x) = \frac{1}{1+x^2}\);\(\arctan'(x) = \frac{1}{\sqrt{1+x^2}}\);\(\arctan'(x) = -\frac{1}{1+x^2}\);\(\arctan'(x) = \frac{1}{1-x^2}\);La dérivée de arctan(x) sur R est 1 / (1+x^2).
Définition du cosinus hyperbolique (cosh);\(\cosh(x) = \frac{e^x + e^{-x}}{2}\);\(\cosh(x) = \frac{e^x - e^{-x}}{2}\);\(\cosh(x) = e^x + e^{-x}\);\(\cosh(x) = \frac{e^{2x} + 1}{2}\);Le cosinus hyperbolique est la partie paire de l'exponentielle : cosh(x) = (e^x + e^-x)/2.
Définition du sinus hyperbolique (sinh);\(\sinh(x) = \frac{e^x - e^{-x}}{2}\);\(\sinh(x) = \frac{e^x + e^{-x}}{2}\);\(\sinh(x) = \frac{e^{-x} - e^x}{2}\);\(\sinh(x) = e^x - e^{-x}\);Le sinus hyperbolique est la partie impaire de l'exponentielle : sinh(x) = (e^x - e^-x)/2.
Relations entre cosh, sinh et exponentielle;\(\cosh(x) + \sinh(x) = e^x\) et \(\cosh(x) - \sinh(x) = e^{-x}\);\(\cosh(x) + \sinh(x) = e^{-x}\) et \(\cosh(x) - \sinh(x) = e^x\);\(\cosh(x) + \sinh(x) = 1\) et \(\cosh(x) - \sinh(x) = 0\);\(\cosh(x) \cdot \sinh(x) = e^x\) et \(\frac{\cosh(x)}{\sinh(x)} = e^{-x}\);En additionnant et soustrayant cosh(x) et sinh(x), on obtient respectivement e^x et e^-x.
Définition de la tangente hyperbolique (tanh);\(\tanh(x) = \frac{e^x - e^{-x}}{e^x + e^{-x}}\);\(\tanh(x) = \frac{e^x + e^{-x}}{e^x - e^{-x}}\);\(\tanh(x) = \frac{e^x - 1}{e^x + 1}\);\(\tanh(x) = \frac{\cosh(x)}{\sinh(x)}\);La tangente hyperbolique est sinh(x)/cosh(x) = (e^x - e^-x)/(e^x + e^-x).
Identité fondamentale hyperbolique;\(\cosh^2(x) - \sinh^2(x) = 1\);\(\cosh^2(x) + \sinh^2(x) = 1\);\(\sinh^2(x) - \cosh^2(x) = 1\);\(\cosh^2(x) - \sinh^2(x) = 0\);L'identité hyperbolique fondamentale est cosh^2(x) - sinh^2(x) = 1.
Dérivées des fonctions cosh et sinh;\(\cosh'(x) = \sinh(x)\) et \(\sinh'(x) = \cosh(x)\);\(\cosh'(x) = -\sinh(x)\) et \(\sinh'(x) = \cosh(x)\);\(\cosh'(x) = \sinh(x)\) et \(\sinh'(x) = -\cosh(x)\);\(\cosh'(x) = \cosh(x)\) et \(\sinh'(x) = \sinh(x)\);En trigonométrie hyperbolique, cosh'(x) = sinh(x) et sinh'(x) = cosh(x) (sans signe moins).
Dérivée de la tangente hyperbolique;\(\tanh'(x) = 1 - \tanh^2(x)\);\(\tanh'(x) = 1 + \tanh^2(x)\);\(\tanh'(x) = \tanh^2(x) - 1\);\(\tanh'(x) = \frac{1}{\cosh(x)}\);La dérivée de tanh(x) est 1 - tanh^2(x) = 1 / cosh^2(x).
Limites de cosh, sinh et tanh en \(+\infty\);\(\lim_{x \to +\infty} \cosh(x) = +\infty\), \(\lim_{x \to +\infty} \sinh(x) = +\infty\), \(\lim_{x \to +\infty} \tanh(x) = 1\);\(\lim_{x \to +\infty} \cosh(x) = +\infty\), \(\lim_{x \to +\infty} \sinh(x) = -\infty\), \(\lim_{x \to +\infty} \tanh(x) = 0\);\(\lim_{x \to +\infty} \cosh(x) = 1\), \(\lim_{x \to +\infty} \sinh(x) = 1\), \(\lim_{x \to +\infty} \tanh(x) = 1\);\(\lim_{x \to +\infty} \cosh(x) = +\infty\), \(\lim_{x \to +\infty} \sinh(x) = +\infty\), \(\lim_{x \to +\infty} \tanh(x) = +\infty\);En +infini, cosh(x) -> +infini, sinh(x) -> +infini, et tanh(x) -> 1.
