Question;Correct;Wrong1;Wrong2;Wrong3;Explanation
Quelle est la forme trigonométrique d'un nombre complexe non nul z de module |z| et d'argument theta ?;\(|z|(\cos(\theta)+i\sin(\theta))\);\(|z|(\sin(\theta)+i\cos(\theta))\);\(|z|(\cos(\theta)-i\sin(\theta))\);\(\cos(\theta)+i\sin(\theta)\);La forme trigonométrique s'écrit \(z = |z|(\cos\theta + i\sin\theta)\), aussi notée \(|z|e^{i\theta}\).
Quelle est la propriété du produit d'exponentielles complexes exp(i theta) exp(i theta') ?;\(e^{i(\theta+\theta^{\prime})}=e^{i\theta}e^{i\theta^{\prime}}\);\(e^{i(\theta \theta^{\prime})}=e^{i\theta}e^{i\theta^{\prime}}\);\(e^{i(\theta-\theta^{\prime})}=e^{i\theta}e^{i\theta^{\prime}}\);\(e^{i\theta + e^{i\theta^{\prime}}}=e^{i(\theta+\theta^{\prime})}\);L'exponentielle complexe transforme une somme d'arguments en un produit : \(e^{i\theta} e^{i\theta'} = e^{i(\theta+\theta')}\).
Quelles sont les formules d'Euler pour cos(theta) et sin(theta) ?;\(\cos(\theta)=\frac{e^{i\theta}+e^{-i\theta}}{2}\) et \(\sin(\theta)=\frac{e^{i\theta}-e^{-i\theta}}{2i}\);\(\cos(\theta)=\frac{e^{i\theta}-e^{-i\theta}}{2}\) et \(\sin(\theta)=\frac{e^{i\theta}+e^{-i\theta}}{2i}\);\(\cos(\theta)=\frac{e^{i\theta}+e^{-i\theta}}{2i}\) et \(\sin(\theta)=\frac{e^{i\theta}-e^{-i\theta}}{2}\);\(\cos(\theta)=e^{i\theta}+e^{-i\theta}\) et \(\sin(\theta)=e^{i\theta}-e^{-i\theta}\);D'après Euler, \(\cos(\theta) = \frac{e^{i\theta} + e^{-i\theta}}{2}\) et \(\sin(\theta) = \frac{e^{i\theta} - e^{-i\theta}}{2i}\).
Quelle est la formule de Moivre pour n entier ?;\((e^{i\theta})^{n}=e^{ni\theta}\);\((e^{i\theta})^{n}=e^{i\theta^{n}}\);\((e^{i\theta})^{n}=n e^{i\theta}\);\((e^{i\theta})^{n}=e^{i(\theta+n)}\);La formule de Moivre stipule que \((\cos\theta + i\sin\theta)^n = \cos(n\theta) + i\sin(n\theta)\), soit \((e^{i\theta})^n = e^{in\theta}\).
En utilisant la technique de l'angle moitié, que vaut la factorisation de 1 + exp(i theta) ?;\(e^{i\frac{\theta}{2}}(2\cos\frac{\theta}{2})\);\(e^{i\frac{\theta}{2}}(2i\sin\frac{\theta}{2})\);\(e^{i\theta}(2\cos\frac{\theta}{2})\);\(2e^{i\theta}\cos(\theta)\);En factorisant par \(e^{i\frac{\theta}{2}}\), on obtient \(e^{i\frac{\theta}{2}}(e^{-i\frac{\theta}{2}} + e^{i\frac{\theta}{2}}) = e^{i\frac{\theta}{2}}(2\cos\frac{\theta}{2})\).
Quelles sont les étapes pour linéariser cos^n(theta) ou sin^n(theta) ?;1. Euler -> 2. Binôme de Newton -> 3. Regrouper les termes -> 4. Euler inverse;1. Moivre -> 2. Binôme de Newton -> 3. Dérivation -> 4. Intégration;1. Angle moitié -> 2. Binôme de Newton -> 3. Euler inverse;1. Euler -> 2. Moivre -> 3. Séparation partie réelle/imaginaire;On exprime cos ou sin avec Euler, on développe avec le binôme de Newton, on regroupe les termes conjugués, puis on réutilise Euler.
Quelle est la méthode pour exprimer cos(k theta) en fonction de puissances de cos(theta) et sin(theta) ?;1. Moivre -> 2. Binôme de Newton -> 3. Identification (Partie Réelle/Imaginaire);1. Euler -> 2. Binôme de Newton -> 3. Euler inverse;1. Angle moitié -> 2. Identification;1. Intégration par parties -> 2. Moivre -> 3. Euler;On utilise la formule de Moivre \(\cos(k\theta) = \text{Re}((\cos\theta + i\sin\theta)^k)\), on développe par le binôme de Newton et on identifie la partie réelle.
La fonction logarithme complexe log(z) est-elle définie de façon globale unique en prépa ATS ?;\(\log()\) n'existe pas (dans ce contexte);\text{Oui, } \log(z) = \ln(|z|) + i\arg(z) \text{ partout};\text{Oui, } \log(z) = \ln(z);\text{Elle n'existe que pour les complexes réels négatifs};Dans le cours usuel, la fonction logarithme n'est pas définie sur \(\mathbb{C}\) de manière globale et univoque en raison de la multivaluation de l'argument.
La notation \sqrt{z} est-elle recommandée pour un nombre complexe z non réel positif ?;non (notation à éviter);Oui, c'est la notation officielle;Oui, pour le complexe de partie réelle positive;Oui, car tout complexe a une unique racine;Dans \(\mathbb{C}\), tout nombre non nul possède deux racines carrées opposées. La notation \(\sqrt{z}\) est proscrite pour éviter les erreurs d'invariance.
Quelle est l'expression des n racines n-ièmes de l'unité pour k dans {0,...,n-1} ?;\(z_{k}=e^{\frac{2ik\pi}{n}}\);\(z_{k}=e^{\frac{ik\pi}{n}}\);\(z_{k}=e^{\frac{2ik\pi}{2n}}\);\(z_{k}=e^{2ik\pi}\);Les racines \(n\)-ièmes de 1 s'obtiennent en résolvant \(z^n = 1\), soit \(z_k = e^{i\frac{2k\pi}{n}}\) pour \(k \in \{0, \dots, n-1\}\).
Que vaut la somme des n racines n-ièmes de l'unité (n >= 2) ?;\(\sum_{k=0}^{n-1}z_{k}=0\);\(\sum_{k=0}^{n-1}z_{k}=1\);\(\sum_{k=0}^{n-1}z_{k}=n\);\(\sum_{k=0}^{n-1}z_{k}=-1\);Il s'agit d'une somme géométrique de raison \(\omega = e^{\frac{2i\pi}{n}} \neq 1\) dont la somme vaut \(\frac{1 - \omega^n}{1 - \omega} = 0\).
